,cbsa,areaname,year,murder
0,10740,"Albuquerque,NM",1970,0.0
1,10740,"Albuquerque,NM",1971,2.0
2,10740,"Albuquerque,NM",1972,0.0
3,10740,"Albuquerque,NM",1973,4.0
4,10740,"Albuquerque,NM",1974,3.0
5,10740,"Albuquerque,NM",1975,3.0
6,10740,"Albuquerque,NM",1976,2.0
7,10740,"Albuquerque,NM",1977,3.0
8,10740,"Albuquerque,NM",1978,3.0
9,10740,"Albuquerque,NM",1979,2.0
10,10740,"Albuquerque,NM",1980,4.0
11,10740,"Albuquerque,NM",1981,2.0
12,10740,"Albuquerque,NM",1982,4.0
13,10740,"Albuquerque,NM",1983,10.0
14,10740,"Albuquerque,NM",1984,17.0
15,10740,"Albuquerque,NM",1985,7.0
16,10740,"Albuquerque,NM",1986,19.0
17,10740,"Albuquerque,NM",1987,10.0
18,10740,"Albuquerque,NM",1988,22.0
19,10740,"Albuquerque,NM",1989,15.0
20,10740,"Albuquerque,NM",1990,14.0
21,10740,"Albuquerque,NM",1991,17.0
22,10740,"Albuquerque,NM",1992,1.0
23,10740,"Albuquerque,NM",1993,6.0
24,10740,"Albuquerque,NM",1994,7.0
25,10740,"Albuquerque,NM",1995,3.0
26,10740,"Albuquerque,NM",1996,3.0
27,10740,"Albuquerque,NM",1997,2.0
28,10740,"Albuquerque,NM",1998,0.0
29,10740,"Albuquerque,NM",1999,1.0
30,10740,"Albuquerque,NM",2000,13.0
31,10740,"Albuquerque,NM",2001,4.0
32,10740,"Albuquerque,NM",2002,7.0
33,10740,"Albuquerque,NM",2003,7.0
34,10740,"Albuquerque,NM",2004,10.0
35,10740,"Albuquerque,NM",2005,7.0
36,10740,"Albuquerque,NM",2006,7.0
37,10740,"Albuquerque,NM",2007,8.0
38,10740,"Albuquerque,NM",2008,8.0
39,10740,"Albuquerque,NM",2009,6.0
40,10740,"Albuquerque,NM",2010,5.0
41,10740,"Albuquerque,NM",2011,4.0
42,10740,"Albuquerque,NM",2012,8.0
43,10740,"Albuquerque,NM",2013,6.0
44,10740,"Albuquerque,NM",2014,2.0
45,11260,"Anchorage,AK",1960,91.0
46,11260,"Anchorage,AK",1961,85.0
47,11260,"Anchorage,AK",1962,67.0
48,11260,"Anchorage,AK",1963,99.0
49,11260,"Anchorage,AK",1964,124.0
50,11260,"Anchorage,AK",1965,111.0
51,11260,"Anchorage,AK",1966,149.0
52,11260,"Anchorage,AK",1967,163.0
53,11260,"Anchorage,AK",1968,190.0
54,11260,"Anchorage,AK",1969,282.0
55,11260,"Anchorage,AK",1970,284.0
56,11260,"Anchorage,AK",1971,290.0
57,11260,"Anchorage,AK",1972,323.0
58,11260,"Anchorage,AK",1973,298.0
59,11260,"Anchorage,AK",1974,327.0
60,11260,"Anchorage,AK",1975,312.0
61,11260,"Anchorage,AK",1976,221.0
62,11260,"Anchorage,AK",1977,271.0
63,11260,"Anchorage,AK",1978,212.0
64,11260,"Anchorage,AK",1979,279.0
65,11260,"Anchorage,AK",1980,256.0
66,11260,"Anchorage,AK",1981,231.0
67,11260,"Anchorage,AK",1982,224.0
68,11260,"Anchorage,AK",1983,144.0
69,11260,"Anchorage,AK",1984,176.0
70,11260,"Anchorage,AK",1985,135.0
71,11260,"Anchorage,AK",1986,145.0
72,11260,"Anchorage,AK",1987,159.0
73,11260,"Anchorage,AK",1988,158.0
74,11260,"Anchorage,AK",1989,151.0
75,11260,"Anchorage,AK",1990,194.0
76,11260,"Anchorage,AK",1991,190.0
77,11260,"Anchorage,AK",1992,181.0
78,11260,"Anchorage,AK",1993,181.0
79,11260,"Anchorage,AK",1994,160.0
80,11260,"Anchorage,AK",1995,137.0
81,11260,"Anchorage,AK",1996,113.0
82,11260,"Anchorage,AK",1997,89.0
83,11260,"Anchorage,AK",1998,91.0
84,11260,"Anchorage,AK",1999,76.0
85,11260,"Anchorage,AK",2000,78.0
86,11260,"Anchorage,AK",2001,85.0
87,11260,"Anchorage,AK",2002,91.0
88,11260,"Anchorage,AK",2003,82.0
89,11260,"Anchorage,AK",2004,90.0
90,11260,"Anchorage,AK",2005,123.0
91,11260,"Anchorage,AK",2006,89.0
92,11260,"Anchorage,AK",2007,113.0
93,11260,"Anchorage,AK",2008,63.0
94,11260,"Anchorage,AK",2009,105.0
95,11260,"Anchorage,AK",2010,90.0
96,11260,"Anchorage,AK",2011,84.0
97,11260,"Anchorage,AK",2012,106.0
98,11260,"Anchorage,AK",2013,76.0
99,11260,"Anchorage,AK",2014,72.0
100,12060,"Atlanta,GA",1960,34.0
101,12060,"Atlanta,GA",1961,33.0
102,12060,"Atlanta,GA",1962,38.0
103,12060,"Atlanta,GA",1963,33.0
104,12060,"Atlanta,GA",1964,42.0
105,12060,"Atlanta,GA",1965,60.0
106,12060,"Atlanta,GA",1966,42.0
107,12060,"Atlanta,GA",1967,67.0
108,12060,"Atlanta,GA",1968,57.0
109,12060,"Atlanta,GA",1969,67.0
110,12060,"Atlanta,GA",1970,101.0
111,12060,"Atlanta,GA",1971,82.0
112,12060,"Atlanta,GA",1972,84.0
113,12060,"Atlanta,GA",1973,94.0
114,12060,"Atlanta,GA",1974,103.0
115,12060,"Atlanta,GA",1975,108.0
116,12060,"Atlanta,GA",1976,68.0
117,12060,"Atlanta,GA",1977,79.0
118,12060,"Atlanta,GA",1978,83.0
119,12060,"Atlanta,GA",1979,79.0
120,12060,"Atlanta,GA",1980,86.0
121,12060,"Atlanta,GA",1981,95.0
122,12060,"Atlanta,GA",1982,71.0
123,12060,"Atlanta,GA",1983,76.0
124,12060,"Atlanta,GA",1984,89.0
125,12060,"Atlanta,GA",1985,89.0
126,12060,"Atlanta,GA",1986,82.0
127,12060,"Atlanta,GA",1987,90.0
128,12060,"Atlanta,GA",1988,87.0
129,12060,"Atlanta,GA",1989,116.0
130,12060,"Atlanta,GA",1990,129.0
131,12060,"Atlanta,GA",1991,160.0
132,12060,"Atlanta,GA",1992,148.0
133,12060,"Atlanta,GA",1993,190.0
134,12060,"Atlanta,GA",1994,136.0
135,12060,"Atlanta,GA",1995,134.0
136,12060,"Atlanta,GA",1996,109.0
137,12060,"Atlanta,GA",1997,104.0
138,12060,"Atlanta,GA",1998,105.0
139,12060,"Atlanta,GA",1999,126.0
140,12060,"Atlanta,GA",2000,121.0
141,12060,"Atlanta,GA",2001,93.0
142,12060,"Atlanta,GA",2002,96.0
143,12060,"Atlanta,GA",2003,104.0
144,12060,"Atlanta,GA",2004,90.0
145,12060,"Atlanta,GA",2005,122.0
146,12060,"Atlanta,GA",2006,116.0
147,12060,"Atlanta,GA",2007,160.0
148,12060,"Atlanta,GA",2008,142.0
149,12060,"Atlanta,GA",2009,92.0
150,12060,"Atlanta,GA",2010,107.0
151,12060,"Atlanta,GA",2011,94.0
152,12060,"Atlanta,GA",2012,487.0
153,12060,"Atlanta,GA",2013,418.0
154,12060,"Atlanta,GA",2014,357.0
155,12260,"Augusta,GA",1960,123.0
