,cbsa,year,city,murder
0,19740,1960,"Denver,CO-Aurora,CO",840.0
1,19740,1961,"Denver,CO-Aurora,CO",760.0
2,19740,1962,"Denver,CO-Aurora,CO",520.0
3,19740,1963,"Denver,CO-Aurora,CO",640.0
4,19740,1964,"Denver,CO-Aurora,CO",760.0
5,19740,1965,"Denver,CO-Aurora,CO",640.0
6,19740,1966,"Denver,CO-Aurora,CO",1200.0
7,19740,1967,"Denver,CO-Aurora,CO",960.0
8,19740,1968,"Denver,CO-Aurora,CO",1560.0
9,19740,1969,"Denver,CO-Aurora,CO",1800.0
10,19740,1970,"Denver,CO-Aurora,CO",2000.0
11,19740,1971,"Denver,CO-Aurora,CO",1840.0
12,19740,1972,"Denver,CO-Aurora,CO",1760.0
13,19740,1973,"Denver,CO-Aurora,CO",1400.0
14,19740,1974,"Denver,CO-Aurora,CO",2120.0
15,19740,1975,"Denver,CO-Aurora,CO",1760.0
16,19740,1976,"Denver,CO-Aurora,CO",1320.0
17,19740,1977,"Denver,CO-Aurora,CO",2200.0
18,19740,1978,"Denver,CO-Aurora,CO",1680.0
19,19740,1979,"Denver,CO-Aurora,CO",2000.0
20,19740,1980,"Denver,CO-Aurora,CO",1800.0
21,19740,1981,"Denver,CO-Aurora,CO",1680.0
22,19740,1982,"Denver,CO-Aurora,CO",1600.0
23,19740,1983,"Denver,CO-Aurora,CO",1240.0
24,19740,1984,"Denver,CO-Aurora,CO",1000.0
25,19740,1985,"Denver,CO-Aurora,CO",1680.0
26,19740,1986,"Denver,CO-Aurora,CO",1360.0
27,19740,1987,"Denver,CO-Aurora,CO",1760.0
28,19740,1988,"Denver,CO-Aurora,CO",1760.0
29,19740,1989,"Denver,CO-Aurora,CO",2160.0
30,19740,1990,"Denver,CO-Aurora,CO",2680.0
31,19740,1991,"Denver,CO-Aurora,CO",3000.0
32,19740,1992,"Denver,CO-Aurora,CO",2240.0
33,19740,1993,"Denver,CO-Aurora,CO",2360.0
34,19740,1994,"Denver,CO-Aurora,CO",1680.0
35,19740,1995,"Denver,CO-Aurora,CO",1320.0
36,19740,1996,"Denver,CO-Aurora,CO",1800.0
37,19740,1997,"Denver,CO-Aurora,CO",1080.0
38,19740,1998,"Denver,CO-Aurora,CO",1560.0
39,19740,1999,"Denver,CO-Aurora,CO",640.0
40,19740,2000,"Denver,CO-Aurora,CO",1080.0
41,19740,2001,"Denver,CO-Aurora,CO",1040.0
42,19740,2002,"Denver,CO-Aurora,CO",800.0
43,19740,2003,"Denver,CO-Aurora,CO",1800.0
44,19740,2004,"Denver,CO-Aurora,CO",920.0
45,19740,2005,"Denver,CO-Aurora,CO",1040.0
46,19740,2006,"Denver,CO-Aurora,CO",1480.0
47,19740,2007,"Denver,CO-Aurora,CO",1520.0
48,19740,2008,"Denver,CO-Aurora,CO",1520.0
49,19740,2009,"Denver,CO-Aurora,CO",1520.0
50,19740,2010,"Denver,CO-Aurora,CO",2200.0
51,19124,1960,"Dallas,TX",128.0
52,19124,1961,"Dallas,TX",80.0
53,19124,1962,"Dallas,TX",152.0
54,19124,1963,"Dallas,TX",56.0
55,19124,1964,"Dallas,TX",72.0
56,19124,1965,"Dallas,TX",64.0
57,19124,1966,"Dallas,TX",136.0
58,19124,1967,"Dallas,TX",96.0
59,19124,1968,"Dallas,TX",120.0
60,19124,1969,"Dallas,TX",152.0
61,19124,1970,"Dallas,TX",160.0
62,19124,1971,"Dallas,TX",160.0
63,19124,1972,"Dallas,TX",168.0
64,19124,1973,"Dallas,TX",248.0
65,19124,1974,"Dallas,TX",368.0
66,19124,1975,"Dallas,TX",280.0
67,19124,1976,"Dallas,TX",240.0
68,19124,1977,"Dallas,TX",224.0
69,19124,1978,"Dallas,TX",240.0
70,19124,1979,"Dallas,TX",224.0
71,19124,1980,"Dallas,TX",360.0
72,19124,1981,"Dallas,TX",384.0
73,19124,1982,"Dallas,TX",368.0
74,19124,1983,"Dallas,TX",384.0
75,19124,1984,"Dallas,TX",304.0
76,19124,1985,"Dallas,TX",320.0
77,19124,1986,"Dallas,TX",240.0
78,19124,1987,"Dallas,TX",288.0
79,19124,1988,"Dallas,TX",344.0
80,19124,1989,"Dallas,TX",424.0
81,19124,1990,"Dallas,TX",384.0
82,19124,1991,"Dallas,TX",440.0
83,19124,1992,"Dallas,TX",360.0
84,19124,1993,"Dallas,TX",336.0
85,19124,1994,"Dallas,TX",344.0
86,19124,1995,"Dallas,TX",240.0
87,19124,1996,"Dallas,TX",328.0
88,19124,1997,"Dallas,TX",200.0
89,19124,1998,"Dallas,TX",304.0
90,19124,1999,"Dallas,TX",176.0
91,19124,2000,"Dallas,TX",264.0
92,19124,2001,"Dallas,TX",264.0
93,19124,2002,"Dallas,TX",152.0
94,19124,2003,"Dallas,TX",248.0
95,19124,2004,"Dallas,TX",96.0
96,19124,2005,"Dallas,TX",272.0
97,19124,2006,"Dallas,TX",224.0
98,19124,2007,"Dallas,TX",576.0
99,19124,2008,"Dallas,TX",472.0
100,19124,2009,"Dallas,TX",120.0
101,19124,2010,"Dallas,TX",176.0
102,17140,1960,"Cincinnati,OH",705.0
103,17140,1961,"Cincinnati,OH",900.0
104,17140,1962,"Cincinnati,OH",930.0
105,17140,1963,"Cincinnati,OH",870.0
106,17140,1964,"Cincinnati,OH",930.0
107,17140,1965,"Cincinnati,OH",975.0
108,17140,1966,"Cincinnati,OH",1260.0
109,17140,1967,"Cincinnati,OH",1515.0
110,17140,1968,"Cincinnati,OH",1230.0
111,17140,1969,"Cincinnati,OH",1635.0
112,17140,1970,"Cincinnati,OH",1575.0
113,17140,1971,"Cincinnati,OH",2265.0
114,17140,1972,"Cincinnati,OH",2070.0
115,17140,1973,"Cincinnati,OH",2085.0
116,17140,1974,"Cincinnati,OH",2340.0
117,17140,1975,"Cincinnati,OH",2160.0
118,17140,1976,"Cincinnati,OH",2070.0
119,17140,1977,"Cincinnati,OH",2235.0
120,17140,1978,"Cincinnati,OH",2460.0
121,17140,1979,"Cincinnati,OH",2430.0
122,17140,1980,"Cincinnati,OH",2235.0
123,17140,1981,"Cincinnati,OH",2295.0
124,17140,1982,"Cincinnati,OH",1800.0
125,17140,1983,"Cincinnati,OH",1500.0
126,17140,1984,"Cincinnati,OH",1995.0
127,17140,1985,"Cincinnati,OH",2205.0
128,17140,1986,"Cincinnati,OH",2910.0
129,17140,1987,"Cincinnati,OH",2895.0
130,17140,1988,"Cincinnati,OH",2190.0
131,17140,1989,"Cincinnati,OH",2190.0
132,17140,1990,"Cincinnati,OH",2055.0
133,17140,1991,"Cincinnati,OH",2610.0
134,17140,1992,"Cincinnati,OH",2115.0
135,17140,1993,"Cincinnati,OH",2280.0
136,17140,1994,"Cincinnati,OH",1875.0
137,17140,1995,"Cincinnati,OH",2385.0
138,17140,1996,"Cincinnati,OH",2190.0
139,17140,1997,"Cincinnati,OH",1395.0
140,17140,1998,"Cincinnati,OH",1395.0
141,17140,1999,"Cincinnati,OH",1950.0
142,17140,2000,"Cincinnati,OH",1650.0
143,17140,2001,"Cincinnati,OH",2025.0
144,17140,2002,"Cincinnati,OH",2865.0
145,17140,2003,"Cincinnati,OH",2340.0
146,17140,2004,"Cincinnati,OH",2400.0
147,17140,2005,"Cincinnati,OH",2685.0
148,17140,2006,"Cincinnati,OH",2850.0
149,17140,2007,"Cincinnati,OH",2760.0
150,17140,2008,"Cincinnati,OH",3195.0
151,17140,2009,"Cincinnati,OH",2580.0
152,17140,2010,"Cincinnati,OH",2475.0
153,41180,1960,"SaintLouis,MO",357.0
154,41180,1961,"SaintLouis,MO",408.0
155,41180,1962,"SaintLouis,MO",391.0
156,41180,1963,"SaintLouis,MO",289.0
157,41180,1964,"SaintLouis,MO",408.0
158,41180,1965,"SaintLouis,MO",391.0
159,41180,1966,"SaintLouis,MO",374.0
160,41180,1967,"SaintLouis,MO",595.0
