               ,   coef   , std err ,    t    ,P>|t| , [95.0% Conf. Int.]
C(Year)[T.1961],   -0.0350,    0.052,   -0.677, 0.498,   -0.136     0.066
C(Year)[T.1962],   -0.1259,    0.052,   -2.438, 0.015,   -0.227    -0.025
C(Year)[T.1963],    0.0161,    0.052,    0.311, 0.756,   -0.085     0.117
C(Year)[T.1964],    0.0122,    0.052,    0.237, 0.813,   -0.089     0.113
C(Year)[T.1965],    0.0450,    0.052,    0.871, 0.384,   -0.056     0.146
C(Year)[T.1966],    0.0845,    0.052,    1.637, 0.102,   -0.017     0.186
C(Year)[T.1967],    0.0858,    0.052,    1.660, 0.097,   -0.016     0.187
C(Year)[T.1968],    0.1756,    0.052,    3.399, 0.001,    0.074     0.277
C(Year)[T.1969],    0.1678,    0.052,    3.248, 0.001,    0.067     0.269
C(Year)[T.1970],    0.1770,    0.052,    3.426, 0.001,    0.076     0.278
C(Year)[T.1971],    0.1595,    0.052,    3.086, 0.002,    0.058     0.261
C(Year)[T.1972],    0.1751,    0.052,    3.388, 0.001,    0.074     0.276
C(Year)[T.1973],    0.1835,    0.052,    3.550, 0.000,    0.082     0.285
C(Year)[T.1974],    0.1934,    0.052,    3.741, 0.000,    0.092     0.295
C(Year)[T.1975],    0.1979,    0.052,    3.828, 0.000,    0.097     0.299
C(Year)[T.1976],    0.1298,    0.052,    2.510, 0.012,    0.028     0.231
C(Year)[T.1977],    0.1331,    0.052,    2.573, 0.010,    0.032     0.234
C(Year)[T.1978],    0.0340,    0.052,    0.657, 0.511,   -0.067     0.135
C(Year)[T.1979],    0.0311,    0.052,    0.601, 0.548,   -0.070     0.133
C(Year)[T.1980],    0.0583,    0.052,    1.127, 0.260,   -0.043     0.160
C(Year)[T.1981],    0.0376,    0.052,    0.728, 0.467,   -0.064     0.139
C(Year)[T.1982],   -0.0142,    0.052,   -0.275, 0.783,   -0.116     0.087
C(Year)[T.1983],   -0.0562,    0.052,   -1.086, 0.278,   -0.158     0.045
C(Year)[T.1984],   -0.1218,    0.052,   -2.353, 0.019,   -0.223    -0.020
C(Year)[T.1985],   -0.0357,    0.052,   -0.689, 0.491,   -0.137     0.066
C(Year)[T.1986],    0.0147,    0.052,    0.284, 0.776,   -0.087     0.116
C(Year)[T.1987],   -0.0767,    0.052,   -1.481, 0.139,   -0.178     0.025
C(Year)[T.1988],   -0.1652,    0.052,   -3.192, 0.001,   -0.267    -0.064
C(Year)[T.1989],    0.0064,    0.052,    0.124, 0.901,   -0.095     0.108
C(Year)[T.1990],    0.0203,    0.052,    0.391, 0.696,   -0.081     0.122
C(Year)[T.1991],    0.0563,    0.052,    1.087, 0.277,   -0.045     0.158
C(Year)[T.1992],    0.0474,    0.052,    0.915, 0.360,   -0.054     0.149
C(Year)[T.1993],    0.0862,    0.052,    1.666, 0.096,   -0.015     0.188
C(Year)[T.1994],    0.0587,    0.052,    1.135, 0.257,   -0.043     0.160
C(Year)[T.1995],    0.0422,    0.052,    0.816, 0.415,   -0.059     0.144
C(Year)[T.1996],   -0.0093,    0.052,   -0.179, 0.858,   -0.111     0.092
C(Year)[T.1997],   -0.0605,    0.052,   -1.169, 0.243,   -0.162     0.041
C(Year)[T.1998],   -0.0975,    0.052,   -1.884, 0.060,   -0.199     0.004
C(Year)[T.1999],   -0.1841,    0.052,   -3.556, 0.000,   -0.286    -0.083
C(Year)[T.2000],   -0.0995,    0.053,   -1.865, 0.062,   -0.204     0.005
C(Year)[T.2001],   -0.0982,    0.053,   -1.840, 0.066,   -0.203     0.006
C(Year)[T.2002],   -0.0932,    0.053,   -1.745, 0.081,   -0.198     0.012
C(Year)[T.2003],   -0.0943,    0.053,   -1.764, 0.078,   -0.199     0.011
C(Year)[T.2004],   -0.0922,    0.054,   -1.722, 0.085,   -0.197     0.013
C(Year)[T.2005],   -0.0432,    0.054,   -0.805, 0.421,   -0.148     0.062
C(Year)[T.2006],   -0.0373,    0.054,   -0.695, 0.487,   -0.143     0.068
C(Year)[T.2007],   -0.0199,    0.054,   -0.370, 0.712,   -0.125     0.085
C(Year)[T.2008],   -0.0594,    0.054,   -1.105, 0.269,   -0.165     0.046
C(Year)[T.2009],   -0.1077,    0.054,   -2.001, 0.045,   -0.213    -0.002
C(Year)[T.2010],   -0.1236,    0.054,   -2.294, 0.022,   -0.229    -0.018
